tituloPrincipal; tituloOriginal;genero;produtora;anoLancamento;tempoMinutos;notaMedia;numeroVotos
Gurren Lagann the Movie: The Lights in the Sky are Stars;Gekijô ban Tengen toppa guren ragan: Ragan hen;Action,Animation,Drama;GAINAX;2009;126;8;1064
The Girl from the Other Side;Totsukuni no shôjo;Animation,Fantasy,Mystery;WIT STUDIO;2022;70;6.8;282
Orlando;Orlando;Animation;null;2011;80;4.4;16
BanG Dream! FILM LIVE 2nd Stage;Bang Dream! Film Live 2nd Stage;Animation,Comedy,Music;Sanzigen;2021;85;7.3;25
Eleanor's Secret;Kérity, la maison des contes;Adventure,Animation,Family;Lanterna Magica;2009;80;6.7;929
Snowflake, the White Gorilla;Floquet de Neu;Adventure,Animation,Comedy;Muf Animat;2011;86;4.4;702
BanG Dream! Poppin'Dream!;BanG Dream! Poppin'Dream!;Animation,Comedy,Music;Bushiroad;2022;70;8.1;16
Arthur Christmas;Arthur Christmas;Adventure,Animation,Comedy;Columbia Pictures;2011;97;7.1;59987
McDull, Kung Fu Kindergarten;Mai dou xiang dang dang;Animation,Comedy;Bliss Concepts;2009;80;6.3;421
The Pirates! Band of Misfits;The Pirates! In an Adventure with Scientists!;Adventure,Animation,Comedy;Aardman;2012;88;6.7;48940
Trunk Train: The Movie;Tromba Trem: O Filme;Adventure,Animation,Comedy;Copa Studio;2022;94;9;36
Adventures of Little Herbert in Mushroom Land;Adventures of Little Herbert in Mushroom Land;Animation,Family,Fantasy;null;2008;82;6.9;11
Ice;Ice;Animation,Drama,Fantasy;null;2008;103;5.2;39
The Secret World of Arrietty;Karigurashi no Arietty;Adventure,Animation,Drama;Studio Ghibli;2010;94;7.6;93554
Shrimad Rajchandra;Shrimad Rajchandra;Animation,Biography,Family;null;2021;100;9.3;53
The Quintessential Quintuplets Movie;Eiga Go-Toubun no Hanayome;Animation,Comedy,Drama;Pony Canyon;2022;136;7.6;710
The Disappearance of Haruhi Suzumiya;Suzumiya Haruhi no shôshitsu;Animation,Drama,Family;Kyoto Animation;2010;162;8;7408
Gunbuster vs Diebuster: Aim for the Top! The GATTAI!! Movie;Gunbuster vs Diebuster: Aim for the Top! The GATTAI!! Movie;Animation;GAINAX;2006;195;5.7;11
The Great Wolf Pack;The Great Wolf Pack: A Call to Adventure;Adventure,Animation,Comedy;Great Wolf Entertainment;2022;47;7.5;17
Zeria;Zeria;Animation,Sci-Fi;null;2021;61;6.4;19
The Westward;The Westward;Animation;null;2020;0;6.3;70
Cuentos de la selva;Cuentos de la selva;Adventure,Animation,Family;Aleph;2010;77;4.4;81
Little Big Panda;Little Big Panda;Animation;null;2011;88;5.2;143
Upon a Midnight Clear;Upon a Midnight Clear;Animation,Drama,Family;null;2010;98;7.5;30
Otto Fiction;Otto's Eleven;Adventure,Animation,Comedy;null;2009;95;4.6;1335
Best Birthday Ever;Best Birthday Ever;Animation;Alexandra Schatz Filmproduktion;2021;74;5.5;36
Fruits Basket: Prelude;Fruits Basket: Prelude;Animation,Drama,Romance;TMS Entertainment;2022;88;7.7;418
Mortal Kombat Legends: Snow Blind;Mortal Kombat Legends: Snow Blind;Action,Adventure,Animation;Warner Bros. Animation;2022;82;6.6;1449
Exaella;Exaella;Action,Animation,Drama;null;2011;90;5.5;225
Swimming to Sea;Pa-dak pa-dak;Animation,Drama,Horror;E-dehi Animation Studio;2012;78;7;394
Chibi Maruko-chan: Ôno-kun to Sugiyama-kun;Chibi Maruko-chan: Ôno-kun to Sugiyama-kun;Animation;Onkyo Eizo System Co., Ltd.;1990;94;7;71
Walter & Tandoori's Christmas;Le Noël de Walter et Tandoori;Animation,Comedy,Drama;null;2011;85;6;34
The Panda's Great Adventure;Panda no Daibouken;Adventure,Animation;null;1973;53;6.4;83
Life's a Jungle: Africa's Most Wanted;Life's a Jungle: Africa's Most Wanted;Animation,Family;Prevalent Entertainment;2012;101;1.6;481
Hizli Ayaklar: Olimpiyat Yolunda;Hizli Ayaklar: Olimpiyat Yolunda;Animation;Neher Prodüksiyon;2022;80;5.7;8
Soledad y Larguirucho;Soledad y Larguirucho;Adventure,Animation,Comedy;San Luis Cine;2012;80;4.4;48
Keriyon Shin-chan: Oh, I'm Sorry!;Kureyon Shinchan: Arashi o Yobu Janguru!;Action,Adventure,Animation;Shin-Ei Animation;2000;88;7;326
Kureyon Shinchan: Arashi o Yobu: Appare! Sengoku Daikassen;Kureyon Shinchan: Arashi o Yobu: Appare! Sengoku Daikassen;Animation,History;Shin-Ei Animation;2002;95;7.3;364
The Magic Flute;Il flauto magico;Animation,Comedy,Fantasy;Luzzati-Gianini Productions;1978;54;7.7;47
Saving Sally;Saving Sally;Animation,Drama,Fantasy;KB Studios;2016;94;7.3;548
Nova Seed;Nova Seed;Adventure,Animation,Fantasy;Gorgon Pictures;2016;64;6.6;336
Nerdland;Nerdland;Animation,Comedy;Samuel Goldwyn Films;2016;85;5.3;1093
Twinkle Toes Lights Up New York;Twinkle Toes Lights Up New York;Adventure,Animation,Family;Skechers Entertainment;2016;71;6.2;24
Tehran Taboo;Teheran Tabu;Animation,Drama;Little Dream Entertainment;2017;96;7.1;4513
Pop in Q;Poppin Q;Adventure,Animation,Fantasy;Toei Animation;2016;95;5.1;40
The Legend of Chupacabras;La Leyenda del Chupacabras;Action,Adventure,Animation;Ánima Estudios;2016;81;5.1;270
Kingsglaive: Final Fantasy XV;Kingsglaive: Final Fantasy XV;Action,Adventure,Animation;Square Visual Works Co. Ltd.;2016;110;6.7;21982
Mercy Street;Mercy Street;Animation,Family;null;2016;74;6.1;22
Kung Fu Style;Kung Fu Style;Animation;null;2015;90;5.1;13
Five Nights at Freddy's 4;Five Nights at Freddy's 4;Animation,Horror;null;2016;60;7.1;284
The Ant Bully;The Ant Bully;Adventure,Animation,Comedy;DNA Productions;2006;88;5.8;39963
Kingdom of Gifts;Kingdom of Gifts;Animation;Estudios Filman;1978;0;5.9;31
The Legend of the Sky Kingdom;The Legend of the Sky Kingdom;Adventure,Animation,Family;Sunrise Productions;2003;73;6.4;59
Muhammad: The Last Prophet;Muhammad: The Last Prophet;Animation,Biography,Drama;null;2002;95;7.5;1423
Neznaika i Barrabass;Neznaika i Barrabass;Adventure,Animation;First Channel;2004;80;6.3;46
Everyone's Hero;Everyone's Hero;Adventure,Animation,Comedy;Dan Krech Productions;2006;87;5.7;9045
The Day the Earth Moved;Chikyû ga ugoita hi;Animation,History;Tama Production;1997;76;6;27
Fantastic Mr. Fox;Fantastic Mr. Fox;Adventure,Animation,Comedy;Regency Enterprises;2009;87;7.9;233401
Die phantastische Welt des Matthew Madson;Die phantastische Welt des Matthew Madson;Animation,Sci-Fi;null;1974;87;4.8;12
Fossil;Fossil;Animation,Drama;null;2004;87;7.5;22
The Legend of Buddha;The Legend of Buddha;Animation,Family;Kingdom Animasia Inc.;2004;90;7;99
Mobile Suit Z Gundam: A New Translation - Heirs to the Stars;Kidô senshi Z Gundam - A New Translation: Hoshi wo tsugumono;Action,Animation,Drama;SUNRISE;2004;94;6.8;259
Pokémon the Movie: Destiny Deoxys;Gekijôban Poketto Monsutâ Adobansu Jenerêshon: Rekkû no hômonsha Deokishisu;Action,Adventure,Animation;Pikachu Project;2004;98;6;4046
The Easter Egg Adventure;The Easter Egg Adventure;Animation,Family;null;2004;87;4.7;158
Toy Story 3;Toy Story 3;Adventure,Animation,Comedy;Pixar;2010;103;8.3;834811
G-Force;G-Force;Action,Adventure,Animation;Walt Disney Pictures;2009;88;5.1;47172
Renart the Fox;Le roman de Renart;Animation,Family;Oniria Pictures;2005;90;4.7;232
Ice Age: The Meltdown;Ice Age: The Meltdown;Adventure,Animation,Comedy;20th Century Fox Animation;2006;91;6.8;279720
Azur & Asmar: The Princes' Quest;Azur et Asmar;Adventure,Animation,Family;Nord-Ouest Films;2006;99;7.4;3299
Dead Leaves;Deddo ribusu;Action,Adventure,Animation;Production I.G;2004;55;7.1;4116
Isko: Adventures in Animasia;Isko: Adventures in Animasia;Adventure,Animation,Comedy;OctoArts Films;1995;0;6.3;10
Kung Fu Panda;Kung Fu Panda;Action,Adventure,Animation;DreamWorks Animation;2008;92;7.6;470756
Kate: The Taming of the Shrew;Kate - La bisbetica domata;Animation,Comedy,Romance;null;2004;77;7.3;19
Supertramps;Supertramps;Animation;Barton Films;2004;79;5.9;44
Beowulf;Beowulf;Action,Adventure,Animation;Shangri-La Entertainment;2007;115;6.3;169152
Midsummer Dream;El sueño de una noche de San Juan;Adventure,Animation,Drama;null;2005;85;4.7;394
The Book of the Dead;Shisha no sho;Animation,Drama,Fantasy;Sakura Eiga-sha;2005;70;6.6;245
Hoodwinked;Hoodwinked!;Adventure,Animation,Comedy;Kanbar Entertainment;2005;80;6.5;62343
Piratas en el Callao;Piratas en el Callao;Adventure,Animation,Family;Alpamayo Entertainment;2005;78;4;151
Robotech: the Shadow Chronicles;Robotech: The Shadow Chronicles;Action,Adventure,Animation;Harmony Gold;2006;88;6.3;1591
Felix - Ein Hase auf Weltreise;Felix - Ein Hase auf Weltreise;Animation,Family;WunderWerk;2005;81;5.5;112
The Steam Engines of Oz;The Steam Engines of Oz;Adventure,Animation,Family;Cinedigm;2018;79;7.1;2913
The Legend of Muay Thai: 9 Satra;9 Satra;Action,Adventure,Animation;Exformat Films;2018;102;7.4;1542
Kochira Katsushika-ku Kameari kôen mae hashutsujo: The Movie 2;Kochira Katsushika-ku Kameari kôen mae hashutsujo: The Movie 2;Animation;Gallop;2003;100;7.6;20
Thunderbolt Fantasy: The Sword of Life and Death;Thunderbolt Fantasy: The Sword of Life and Death;Action,Adventure,Animation;Nitroplus;2017;75;7.3;101
My Hero Academia: Two Heroes;Boku no hîrô akademia THE MOVIE ~ 2-ri no eiyû ~;Action,Adventure,Animation;BONES;2018;96;7.4;10899
The 19th Annual Animation Show of Shows;The 19th Annual Animation Show of Shows;Animation;null;2017;93;6.7;37
Non Non Biyori: The Movie - Vacation;Gekijo-ban Non Non Biyori: Vacation;Adventure,Animation,Comedy;SILVER LINK.;2018;71;7.5;354
A Frozen Christmas;A Frozen Christmas;Animation;Ruthless Studios;2016;76;6.4;71
Peixonauta: O Filme;Peixonauta: O Filme;Adventure,Animation,Family;null;2018;77;7.6;79
Dragon Princess;Princesse Dragon;Animation,Family,Fantasy;Ankama;2021;70;7.7;76
Dr. Slump: The Secret of Nanaba Castle;Dr. Slump & Arale-chan Hoyoyo! Nanaba Shiro no Hihou;Action,Animation,Comedy;Toei Animation;1984;48;6.1;16
Girls und Panzer das Finale: Part I;Girls und Panzer das Finale: Part I;Action,Animation,Comedy;Actas;2017;47;7.2;351
Girls und Panzer das Finale: Part II;Girls und Panzer das Finale: Part II;Action,Animation,Comedy;Actas;2019;54;7.4;249
A Dog's Courage;The Underdog;Animation;Next Entertainment World;2018;102;6.2;182
Detective Conan: Zero the Enforcer;Meitantei Conan: Zero no Shikkônin;Action,Adventure,Animation;TMS Entertainment;2018;115;6.2;1664
Cirkeline, Coco og det vilde næsehorn;Cirkeline, Coco og det vilde næsehorn;Animation,Family;Dansk Tegnefilm;2018;62;5.1;19
Cats;Cats and Peachtopia;Adventure,Animation,Comedy;Light Chaser Animation Studios;2018;87;4.8;1403
Magic Arch 3D;Magic Arch 3D;Animation,Family,Fantasy;Licensing Brands;2020;82;4.2;356
Norm of the North: Keys to the Kingdom;Norm of the North: Keys to the Kingdom;Adventure,Animation,Comedy;Lionsgate;2018;91;3;866
Mobile Suit Gundam Thunderbolt: Bandit Flower;Mobile Suit Gundam Thunderbolt: Bandit Flower;Action,Animation,Drama;SUNRISE;2017;90;6.6;300
Martians vs. Mexicans;Marcianos Contra Mexicanos;Adventure,Animation,Comedy;Huevocartoon Producciones;2018;90;4;183
Attack on Titan: The Roar of Awakening;Gekijôban Shingeki no Kyojin Season 2: Kakusei no hôkô;Action,Animation,Fantasy;WIT STUDIO;2018;120;8.4;5430
ZOOks;ZOOks;Animation;Potemkino;2018;90;6.1;28
Allahyar and the Legend of Markhor;Allahyar and the Legend of Markhor;Adventure,Animation,Family;3rd World Studios;2018;90;7.4;431
The Family;La prima;Adventure,Animation,Comedy;null;2017;94;3.4;85
Dragon Ball Super: Broly;Doragon bôru chô: Burorî;Action,Adventure,Animation;Toei Animation;2018;100;7.7;28230
Captain Tsubasa Movie 02 - Attention! The Japanese Junior Selection;Kyaputen tsubasa ayaushi! Zen'nihon Jr;Animation,Sport;Tsuchida Production;1985;60;6.8;81
Captain Tsubasa Movie 04: The Great World Competition! The Junior World Cup;Kyaputen tsubasa sekai daisakusen!! Jr. Warudo kappu;Animation,Sport;Tsuchida Production;1986;57;6.9;54
Funny Pets 2;Funny Pets 2;Animation,Comedy,Family;null;2018;71;5.9;107
Amazing Trains;Amazing Trains;Animation;Ruthless Studios;2017;62;8.6;28
Koati;Koati;Adventure,Animation,Family;Upstairs;2021;92;5.1;216
Apollo 10½: A Space Age Childhood;Apollo 10 1/2: A Space Age Adventure;Adventure,Animation,Drama;Detour Filmproduction;2022;97;7.2;8261
The Mitchells vs the Machines;The Mitchells vs the Machines;Adventure,Animation,Comedy;Lord Miller;2021;114;7.6;108846
Gekijouban Macross Delta: Gekijou no Walküre;Gekijouban Macross Delta: Gekijou no Walküre;Animation;Big West;2018;120;6.5;43
Little Hero;Little Hero;Animation;null;2018;104;6.6;44
Crayon Shin-chan: Burst Serving! Kung Fu Boys - Ramen Rebellion;Crayon Shin-chan: Burst Serving! Kung Fu Boys - Ramen Rebellion;Action,Adventure,Animation;Asatsu-DK;2018;104;6.2;275
Asterix: The Secret of the Magic Potion;Astérix: Le secret de la potion magique;Adventure,Animation,Comedy;M6 Studio;2018;87;6.7;9884
Godzilla: City on the Edge of Battle;Gojira: kessen kidô zôshoku toshi;Action,Adventure,Animation;Polygon Pictures;2018;101;5.8;5018
Boonie Bears: The Big Shrink;Boonie Bears: The Big Shrink;Animation;Fantawild Animation;2018;90;5.5;231
Spycies;Spycies;Action,Animation,Comedy;iQIYI Pictures;2019;99;5.4;937
Grenzenlos - Geschichten von Freiheit & Freundschaft;Grenzenlos - Geschichten von Freiheit & Freundschaft;Animation,Documentary,Drama;null;2018;80;9;5
A Costume for Nicholas;Un Disfraz para Nicolas;Animation;Fotosíntesis Media;2020;80;6.9;221
Captain Sabertooth and the Magic Diamond;Kaptein Sabeltann og den magiske diamant;Animation,Family;Qvisten Animation;2019;81;5.8;444
An Egg Rescue;Un rescate de huevitos;Adventure,Animation,Comedy;Huevocartoon Producciones;2021;88;5.5;191
LEGO DC Super Hero Girls: Super-villain High;LEGO DC Super Hero Girls: Super-villain High;Action,Adventure,Animation;null;2018;78;5;435
Shopkins Wild;Shopkins Wild;Animation,Family;null;2018;72;5.6;69
Vic the Viking and the Magic Sword;Vic the Viking and the Magic Sword;Action,Adventure,Animation;SND;2019;77;5.2;378
Renkli Balik Yeni Dünyalar Kâsifi;Renkli Balik Yeni Dünyalar Kâsifi;Animation;null;2018;0;6.8;37
Penguin Highway;Pengin haiwei;Adventure,Animation,Family;Studio Colorido;2018;117;7.1;3196
The Cat in the Hat Knows a Lot About Space!;The Cat in the Hat Knows a Lot About Space!;Animation;Portfolio Productions;2017;60;6;24
Fate/stay night [Heaven's Feel] II. lost butterfly;Gekijouban Fate/Stay Night: Heaven's Feel - II. Lost Butterfly;Action,Adventure,Animation;ufotable;2019;117;8;2506
Fate/stay night [Heaven's Feel] III. spring song;Gekijouban Fate/Stay Night: Heaven's Feel - III. Spring Song;Action,Adventure,Animation;ufotable;2020;120;8;2045
Joseph: Beloved Son, Rejected Slave, Exalted Ruler;Joseph: Beloved Son, Rejected Slave, Exalted Ruler;Animation;Herald Entertainment;2015;90;6.3;20
Turning Red;Turning Red;Adventure,Animation,Comedy;Walt Disney Pictures;2022;100;7;119721
Doraemon the Movie: Nobita's Treasure Island;Doraemon Nobita no Takarajima;Adventure,Animation,Comedy;Shin-Ei Animation;2018;108;6.5;887
